board_type,board,stock_count,best_rank,avg_rank,top_stocks
concept,TOPCon,19,143,945.53,002008:大族激光#143 | 002865:钧达股份#152 | 600641:先导基电#276 | 002506:协鑫集成#465 | 600438:通威股份#631
concept,华为海思,18,1,542.56,002185:华天科技#1 | 600584:长电科技#3 | 002156:通富微电#26 | 002371:北方华创#118 | 300184:力源信息#121
concept,充电桩,18,75,1002.61,000887:中鼎股份#75 | 300274:阳光电源#97 | 002364:中恒电气#125 | 600406:国电南瑞#553 | 000601:韶能股份#595
concept,超大盘,18,106,680.44,601899:紫金矿业#106 | 600030:中信证券#131 | 600900:长江电力#260 | 600036:XD招商银#343 | 601288:农业银行#353
concept,民营银行,17,19,824.06,002361:神剑股份#19 | 000620:盈新发展#58 | 002457:青龙管业#160 | 002031:巨轮智能#407 | 000651:格力电器#530
concept,网络游戏,17,20,750.53,002354:天娱数科#20 | 002261:拓维信息#86 | 300053:航宇微#318 | 600770:综艺股份#523 | 002292:奥飞娱乐#524
concept,钙钛矿,17,56,803.94,000988:华工科技#56 | 002008:大族激光#143 | 601012:隆基绿能#229 | 603773:沃格光电#252 | 300706:阿石创#396
concept,高压快充,17,56,1250.29,000988:华工科技#56 | 002364:中恒电气#125 | 002015:协鑫能科#390 | 301310:鑫宏业#438 | 002130:沃尔核材#738
concept,BC电池,17,128,932.06,002129:TCL中环#128 | 002865:钧达股份#152 | 601012:隆基绿能#229 | 002056:横店东磁#713 | 300450:先导智能#725
concept,HIT电池,17,128,902.71,002129:TCL中环#128 | 601615:明阳智能#351 | 002506:协鑫集成#465 | 300260:新莱应材#547 | 600438:通威股份#631
concept,石墨烯,17,189,956.06,600183:生益科技#189 | 603618:杭电股份#213 | 002471:中超控股#290 | 002297:博云新材#300 | 600549:厦门钨业#426
concept,资产注入,17,202,855.82,600362:江西铜业#202 | 600673:东阳光#321 | 600726:华电能源#362 | 600497:驰宏锌锗#472 | 000564:供销大集#487
concept,机器人概念,16,5,888.94,000938:紫光股份#5 | 002436:兴森科技#168 | 002559:亚威股份#336 | 002158:汉钟精机#366 | 002031:巨轮智能#407
concept,风能概念,16,13,730.44,002202:金风科技#13 | 600396:华电辽能#46 | 000970:中科三环#272 | 600089:特变电工#286 | 002080:中材科技#495
concept,固态电池,16,47,701.38,300750:宁德时代#47 | 002709:天赐材料#65 | 002466:天齐锂业#172 | 002460:赣锋锂业#259 | 601127:赛力斯#385
concept,汽车电子,16,56,694.62,000988:华工科技#56 | 000901:航天科技#66 | 000887:中鼎股份#75 | 002463:沪电股份#129 | 002456:欧菲光#220
concept,智能穿戴,15,3,600.2,600584:长电科技#3 | 000063:中兴通讯#33 | 002241:歌尔股份#68 | 002579:中京电子#107 | 002230:科大讯飞#219
concept,深圳本地,15,8,515.6,000021:深科技#8 | 000063:中兴通讯#33 | 000066:中国长城#61 | 000048:京基智农#190 | 000034:神州数码#198
concept,沿海发展,15,26,660.67,002156:通富微电#26 | 600522:中天科技#37 | 600276:恒瑞医药#115 | 002044:美年健康#342 | 002077:大港股份#419
concept,3D打印,14,5,719.36,000938:紫光股份#5 | 002361:神剑股份#19 | 000988:华工科技#56 | 002008:大族激光#143 | 002171:楚江新材#574
concept,智能机器,14,5,955.07,000938:紫光股份#5 | 002559:亚威股份#336 | 600330:天通股份#404 | 002031:巨轮智能#407 | 300131:英唐智控#452
concept,武汉规划,14,9,571.43,600879:XD航天电#9 | 002414:高德红外#21 | 000988:华工科技#56 | 002281:光迅科技#60 | 600498:XD烽火通#99
